,geometry,centroid,centroid_x,centroid_y,zone_label
90,"POLYGON ((-74.03357382676363 40.6372636908638, -74.02352335516383 40.637179138976514, -74.02341176923643 40.64483550560181, -74.03346338890614 40.64492008020349, -74.03357382676363 40.6372636908638))",POINT (-74.02849308538867 40.64104967681389),-74.02849308538867,40.64104967681389,1
120,"POLYGON ((-74.02352335516383 40.637179138976514, -74.01347292642542 40.63709371256255, -74.01336019244674 40.64475005623858, -74.02341176923643 40.64483550560181, -74.02352335516383 40.637179138976514))",POINT (-74.01844206119314 40.64096467624677),-74.01844206119314,40.64096467624677,2
121,"POLYGON ((-74.02341176923643 40.64483550560181, -74.01336019244674 40.64475005623858, -74.01324741514703 40.65240638947172, -74.02330014042901 40.652491861789414, -74.02341176923643 40.64483550560181))",POINT (-74.0183298796893 40.648621026196864),-74.0183298796893,40.648621026196864,3
125,"POLYGON ((-74.02296499654015 40.675460867720616, -74.01290882313329 40.67537532650845, -74.01279587236097 40.68303161796471, -74.0228531960261 40.68311718215208, -74.02296499654015 40.675460867720616))",POINT (-74.01788072238745 40.679246321586284),-74.01788072238745,40.679246321586284,4
126,"POLYGON ((-74.0228531960261 40.68311718215208, -74.01279587236097 40.68303161796471, -74.01268287817332 40.69068789897544, -74.0227413525387 40.69077348614321, -74.0228531960261 40.68311718215208))",POINT (-74.01776832514656 40.68690261932828),-74.01776832514656,40.68690261932828,5
129,"POLYGON ((-74.022517536569 40.70608606280239, -74.01245675947642 40.70600042965824, -74.01234363492935 40.71365667932925, -74.02240556404924 40.713742335469405, -74.022517536569 40.70608606280239))",POINT (-74.01743087412615 40.70987144989305),-74.01743087412615,40.70987144989305,6
150,"POLYGON ((-74.01347292642542 40.63709371256255, -74.0034225409892 40.63700741163278, -74.00330865897809 40.64466373212468, -74.01336019244674 40.64475005623858, -74.01347292642542 40.63709371256255))",POINT (-74.00839108008874 40.64087880104096),-74.00839108008874,40.64087880104096,7
151,"POLYGON ((-74.01336019244674 40.64475005623858, -74.00330865897809 40.64466373212468, -74.00319473320492 40.65232004216842, -74.01324741514703 40.65240638947172, -74.01336019244674 40.64475005623858))",POINT (-74.00827775032253 40.64853512792173),-74.00827775032253,40.64853512792173,8
152,"POLYGON ((-74.01324741514703 40.65240638947172, -74.00319473320492 40.65232004216842, -74.00308076365069 40.6599763417635, -74.01313459450745 40.660062712261414, -74.01324741514703 40.65240638947172))",POINT (-74.0081643770053 40.65619144435672),-74.0081643770053,40.65619144435672,9
154,"POLYGON ((-74.01302173050917 40.66771902460718, -74.00296675029637 40.6676326309094, -74.00285269312288 40.67528890960558, -74.01290882313329 40.67537532650845, -74.01302173050917 40.66771902460718))",POINT (-74.0079374996421 40.671504045887275),-74.0079374996421,40.671504045887275,10
155,"POLYGON ((-74.01290882313329 40.67537532650845, -74.00285269312288 40.67528890960558, -74.00273859211117 40.68294517785149, -74.01279587236097 40.68303161796471, -74.01290882313329 40.67537532650845))",POINT (-74.00782399555823 40.67916033098178),-74.00782399555823,40.67916033098178,11
159,"POLYGON ((-74.01245675947642 40.70600042965824, -74.00239602585592 40.70591391988249, -74.00228174930044 40.713570146322155, -74.01234363492935 40.71365667932925, -74.01245675947642 40.70600042965824))",POINT (-74.00736954276448 40.709785366875664),-74.00736954276448,40.709785366875664,12
160,"POLYGON ((-74.01234363492935 40.71365667932925, -74.00228174930044 40.713570146322155, -74.00216742881126 40.72122636230894, -74.0122304668913 40.72131291855264, -74.01234363492935 40.71365667932925))",POINT (-74.00725582035649 40.71744159972549),-74.00725582035649,40.71744159972549,13
161,"POLYGON ((-74.0122304668913 40.72131291855264, -74.00216742881126 40.72122636230894, -74.0020530643692 40.72888256784233, -74.0121172553433 40.728969147327895, -74.0122304668913 40.72131291855264))",POINT (-74.00714205422662 40.72509782212481),-74.00714205422662,40.72509782212481,14
162,"POLYGON ((-74.0121172553433 40.728969147327895, -74.0020530643692 40.72888256784233, -74.00193865595516 40.73653876292178, -74.01200400026642 40.73662536565447, -74.0121172553433 40.728969147327895))",POINT (-74.00702824435582 40.73275403407311),-74.00702824435582,40.73275403407311,15
163,"POLYGON ((-74.01200400026642 40.73662536565447, -74.00193865595516 40.73653876292178, -74.00182420354994 40.744194947546795, -74.01189070164168 40.74428157353189, -74.01200400026642 40.73662536565447))",POINT (-74.00691439072504 40.74041023556985),-74.00691439072504,40.74041023556985,16
164,"POLYGON ((-74.01189070164168 40.74428157353189, -74.00182420354994 40.744194947546795, -74.00170970713438 40.75185112171683, -74.01177735945011 40.7519377709596, -74.01189070164168 40.74428157353189))",POINT (-74.00680049331523 40.74806642661453),-74.00680049331523,40.74806642661453,17
180,"POLYGON ((-74.0034225409892 40.63700741163278, -73.99337219929602 40.6369202361982, -73.99325716927146 40.64457653327108, -74.00330865897809 40.64466373212468, -74.0034225409892 40.63700741163278))",POINT (-73.99834014251643 40.640792051207384),-73.99834014251643,40.640792051207384,18
181,"POLYGON ((-74.00330865897809 40.64466373212468, -73.99325716927146 40.64457653327108, -73.99314209504386 40.65223281989053, -74.00319473320492 40.65232004216842, -74.00330865897809 40.64466373212468))",POINT (-73.99822566450675 40.64844835478395),-73.99822566450675,40.64844835478395,19
182,"POLYGON ((-74.00319473320492 40.65232004216842, -73.99314209504386 40.65223281989053, -73.99302697659404 40.65988909605602, -74.00308076365069 40.6599763417635, -74.00319473320492 40.65232004216842))",POINT (-73.99811114250498 40.656104647909466),-73.99811114250498,40.656104647909466,20
183,"POLYGON ((-74.00308076365069 40.6599763417635, -73.99302697659404 40.65988909605602, -73.99291181390271 40.667545361767026, -74.00296675029637 40.6676326309094, -74.00308076365069 40.6599763417635))",POINT (-73.99799657649203 40.66376093058342),-73.99799657649203,40.66376093058342,21
